Name,Department,URL(s)
The Hon Josh Frydenberg MP,Treasurer,http://ministers.treasury.gov.au/ministers/josh-frydenberg-2018/all/feed
Senator the Hon Mathias Cormann,Minister for Finance,https://ministers.treasury.gov.au/ministers/mathias-cormann-2014/media-releases/feed
Senator the Hon Bridget McKenzie,Minister for Agriculture,N/A
Senator the Hon Marise Payne,"Minister for Foreign Affairs, Minister for Women",https://foreignminister.gov.au/_layouts/feed.aspx?xsl=1&web=%2F&page=1ac57cc2-3e98-49a5-92a0-26b817a4991d&wp=f9fa3e69-cc04-4c62-b587-5c32edcaddef&pageurl=%2FPages%2FRSS%2DFeed%2Easpx
Senator the Hon Simon Birmingham,"Minister for Trade, Tourism and Investment",http://trademinister.gov.au/_layouts/dfat.ministers/feed.aspx?xsl=1&web=%2FTradeMinister&page=6ff9d43d-9d8c-481c-ad76-065fcda6b1ca&wp=47b917a9-848a-49ec-8aab-164a7882de65&pageurl=%2FTradeMinister%2FPages%2FRSS%2DFeed%2Easpx
The Hon Peter Dutton MP,Minister for Home Affairs,"https://minister.homeaffairs.gov.au/_layouts/15/SP.Minister/Rss.aspx?type=media&mini=peterdutton 
https://minister.homeaffairs.gov.au/_layouts/15/SP.Minister/Rss.aspx?type=speech&mini=peterdutton"
The Hon Paul Fletcher MP,"Minister for Communications, Cyber Safety and the Arts",https://www.minister.communications.gov.au/rss.xml
The Hon Daniel Tehan MP,Minister for Education,https://ministers.education.gov.au/releases_rss?minister=13611
Senator the Hon Michaelia Cash,"Minister for Employment, Skills, Small and Family Business",https://ministers.employment.gov.au/releases_rss?minister=13105
The Hon Angus Taylor MP,Minister for Energy and Emissions Reduction,https://minister.environment.gov.au/feed/taylor/rss.xml
The Hon Sussan Ley MP,Minister for the Environment,https://minister.environment.gov.au/feed/ley/rss.xml
Senator the Hon Anne Ruston,Minister for Families and Social Services,https://ministers.dss.gov.au/feeds/anne-ruston/rss.xml
The Hon Stuart Robert MP,"Minister for the National Disability Insurance Scheme, Minister for Government Services",https://ministers.dss.gov.au/feeds/stuart-robert/rss.xml
The Hon Michael Sukkar MP,"Assistant Treasurer, Minister for Housing",http://ministers.treasury.gov.au/ministers/michael-sukkar-2019/all/feed
Senator the Hon Jane Hume,"Assistant Minister for Superannuation, Financial Services and Financial Technology","https://ministers.treasury.gov.au/ministers/jane-hume-2019/speeches/feed 
https://ministers.treasury.gov.au/ministers/jane-hume-2019/media-releases/feed"
The Hon Steve Irons MP,"Assistant Minister for Vocational Education, Training and Apprenticeships",https://ministers.employment.gov.au/releases_rss?minister=16106
The Hon Trevor Evans MP,Assistant Minister for Waste Reduction and Environmental Management,https://minister.environment.gov.au/feed/evans/rss.xml
The Hon Luke Howarth MP,"Assistant Minister for Community Housing, Homelessness and Community Services",https://ministers.dss.gov.au/feeds/luke-howarth/rss.xml